s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths
2.7136894739369413,0.5880425898537678,0.5880425898537678,2.7136894739369413,0.0596402282979953,0.15594863274491572,0.15594863274491572,0.0596402282979953,1.4
2.4344234159578337,0.297366567218188,0.297366567218188,2.4344234159578337,0.0602491138933236,0.1706300851857874,0.1706300851857874,0.0602491138933236,1.402013422818792
2.024394541656255,-0.017375885134271546,-0.017375885134271546,2.024394541656255,0.06489130681602309,0.1865513632569209,0.1865513632569209,0.06489130681602309,1.4040268456375837
1.5035722712284445,-0.34858322424936045,-0.34858322424936045,1.5035722712284445,0.06818297365852381,0.2013671281809402,0.2013671281809402,0.06818297365852381,1.4060402684563758
0.913903640821006,-0.6859481749143812,-0.6859481749143812,0.913903640821006,0.06854237389735714,0.2138102317699699,0.2138102317699699,0.06854237389735714,1.4080536912751678
0.28630244776890135,-1.0211301520678424,-1.0211301520678424,0.28630244776890135,0.0664858733516084,0.22380174982600323,0.22380174982600323,0.0664858733516084,1.4100671140939596
-0.35274516374673204,-1.3493832275655602,-1.3493832275655602,-0.35274516374673204,0.06302740777862796,0.23211733692605716,0.23211733692605716,0.06302740777862796,1.4120805369127516
-0.9763191038246031,-1.6696612161680333,-1.6696612161680333,-0.9763191038246031,0.0587904793186466,0.2398833065349462,0.2398833065349462,0.0587904793186466,1.4140939597315436
-1.558652404139358,-1.9838072232156012,-1.9838072232156012,-1.558652404139358,0.05389109271984401,0.24809078305192658,0.24809078305192658,0.05389109271984401,1.4161073825503354
-2.077889358699874,-2.2950631712917633,-2.2950631712917633,-2.077889358699874,0.048389131401568995,0.25727036592914354,0.25727036592914354,0.048389131401568995,1.4181208053691274
-2.517466342619314,-2.6064306150639416,-2.6064306150639416,-2.517466342619314,0.04280154931777669,0.26741448300300175,0.26741448300300175,0.04280154931777669,1.4201342281879195
-2.8730597783915637,-2.9195768139118763,-2.9195768139118763,-2.8730597783915637,0.038210624254628046,0.2781281932805235,0.2781281932805235,0.038210624254628046,1.4221476510067113
-3.170780180533586,-3.2346336357379095,-3.2346336357379095,-3.170780180533586,0.0356954536196632,0.2888876997856728,0.2888876997856728,0.0356954536196632,1.4241610738255033
-3.469338153313989,-3.5506552385845875,-3.5506552385845875,-3.469338153313989,0.035333874342919,0.2992735046949711,0.2992735046949711,0.035333874342919,1.4261744966442953
-3.8191561956942404,-3.8663035388533182,-3.8663035388533182,-3.8191561956942404,0.03600515214458927,0.309103082810935,0.309103082810935,0.03600515214458927,1.428187919463087
-4.235947141886786,-4.180451425666275,-4.180451425666275,-4.235947141886786,0.036378109447393225,0.31844783530077,0.31844783530077,0.036378109447393225,1.4302013422818791
-4.716102735811464,-4.492554217480469,-4.492554217480469,-4.716102735811464,0.03576469315964589,0.3275547895992666,0.3275547895992666,0.03576469315964589,1.4322147651006711
-5.25249671588577,-4.802735257235095,-4.802735257235095,-5.25249671588577,0.03426340532363641,0.33671604559989593,0.33671604559989593,0.03426340532363641,1.434228187919463
-5.835019951036836,-5.111609804662052,-5.111609804662052,-5.835019951036836,0.03249506735337631,0.3461419027713794,0.3461419027713794,0.03249506735337631,1.436241610738255
-6.443429961356812,-5.419957346778173,-5.419957346778173,-6.443429961356812,0.03115187609812656,0.355887066321269,0.355887066321269,0.03115187609812656,1.438255033557047
