["o0","LEFT"]
["o1","LEFT"]
("o0","mode 1",1,"o0",1,"transmission")
(200, 3)
1.8737028625000000e+14 4.0277665844647374e-03 -2.2620865135586432e+00
1.8768413932579566e+14 3.9348393885998111e-03 -2.2549370663653794e+00
1.8799799240159128e+14 3.8436692108132823e-03 -2.2476704363301532e+00
1.8831184547738694e+14 3.7542045930244986e-03 -2.2402654213296405e+00
1.8862569855318259e+14 3.6663897076322210e-03 -2.2327006812248462e+00
1.8893955162897822e+14 3.5801651721503263e-03 -2.2249549323631461e+00
1.8925340470477388e+14 3.4954689113664756e-03 -2.2170071350875906e+00
1.8956725778056950e+14 3.4122370509042164e-03 -2.2088366701656144e+00
1.8988111085636516e+14 3.3304048258087355e-03 -2.2004235003299195e+00
1.9019496393216081e+14 3.2499074879214461e-03 -2.1917483134793398e+00
1.9050881700795644e+14 3.1706811963697623e-03 -2.1827926445695138e+00
1.9082267008375209e+14 3.0926638764031534e-03 -2.1735389737040722e+00
1.9113652315954775e+14 3.0157960330312026e-03 -2.1639707985105363e+00
1.9145037623534338e+14 2.9400215074142869e-03 -2.1540726794064118e+00
1.9176422931113903e+14 2.8652881656526848e-03 -2.1438302569091618e+00
1.9207808238693469e+14 2.7915485114377602e-03 -2.1332302406141856e+00
1.9239193546273031e+14 2.7187602159544871e-03 -2.1222603699207094e+00
1.9270578853852597e+14 2.6468865603413842e-03 -2.1109093469303257e+00
1.9301964161432162e+14 2.5758967878974168e-03 -2.0991667422455684e+00
1.9333349469011725e+14 2.5057663650272671e-03 -2.0870228746122574e+00
1.9364734776591291e+14 2.4364771516148698e-03 -2.0744686654946225e+00
1.9396120084170853e+14 2.3680174830208647e-03 -2.0614954697518302e+00
1.9427505391750419e+14 2.3003821672922162e-03 -2.0480948836354589e+00
1.9458890699329984e+14 2.2335724023508914e-03 -2.0342585313007997e+00
1.9490276006909547e+14 2.1675956189369573e-03 -2.0199778310495260e+00
1.9521661314489112e+14 2.1024652559123828e-03 -2.0052437424930041e+00
1.9553046622068678e+14 2.0382004752128669e-03 -1.9900464958657638e+00
1.9584431929648241e+14 1.9748258242193650e-03 -1.9743753048305774e+00
1.9615817237227806e+14 1.9123708537180277e-03 -1.9582180642881772e+00
1.9647202544807369e+14 1.8508696998179553e-03 -1.9415610350505024e+00
1.9678587852386934e+14 1.7903606383609921e-03 -1.9243885177267384e+00
1.9709973159966500e+14 1.7308856203359087e-03 -1.9066825188863215e+00
1.9741358467546062e+14 1.6724897967472171e-03 -1.8884224135541958e+00
1.9772743775125628e+14 1.6152210411952419e-03 -1.8695846094018522e+00
1.9804129082705194e+14 1.5591294781643367e-03 -1.8501422196872901e+00
1.9835514390284756e+14 1.5042670245717857e-03 -1.8300647541471338e+00
1.9866899697864322e+14 1.4506869516543778e-03 -1.8093178396947751e+00
1.9898285005443888e+14 1.3984434735378234e-03 -1.7878629859885149e+00
1.9929670313023450e+14 1.3475913679525202e-03 -1.7656574147701929e+00
1.9961055620603016e+14 1.2981856334041014e-03 -1.7426539762717426e+00
1.9992440928182581e+14 1.2502811856727487e-03 -1.7188011809766437e+00
2.0023826235762144e+14 1.2039325946675299e-03 -1.6940433803910613e+00
2.0055211543341709e+14 1.1591938604332329e-03 -1.6683211359735370e+00
2.0086596850921272e+14 1.1161182243708302e-03 -1.6415718205476859e+00
2.0117982158500838e+14 1.0747580084792823e-03 -1.6137305006517748e+00
2.0149367466080403e+14 1.0351644717446779e-03 -1.5847311503146393e+00
2.0180752773659966e+14 9.9738766862905422e-04 -1.5545082453706776e+00
2.0212138081239531e+14 9.6147629037139680e-04 -1.5229987807464891e+00
2.0243523388819097e+14 9.2747746560458289e-04 -1.4901447392075056e+00
2.0274908696398659e+14 8.9543649335167949e-04 -1.4558960164516266e+00
2.0306294003978225e+14 8.6539647938549597e-04 -1.4202137723100829e+00
2.0337679311557791e+14 8.3739784717754386e-04 -1.3830741299080302e+00
2.0369064619137353e+14 8.1147769823169253e-04 -1.3444720846435370e+00
2.0400449926716919e+14 7.8766900448820187e-04 -1.3044254160089988e+00
2.0431835234296481e+14 7.6599962835182127e-04 -1.2629783248075426e+00
2.0463220541876047e+14 7.4649118388754360e-04 -1.2202044574303004e+00
2.0494605849455612e+14 7.2915777485783255e-04 -1.1762089426188131e+00
2.0525991157035175e+14 7.1400466953655062e-04 -1.1311290708764044e+00
2.0557376464614741e+14 7.0102699508734791e-04 -1.0851333066826017e+00
2.0588761772194306e+14 6.9020855157245057e-04 -1.0384184449945986e+00
2.0620147079773869e+14 6.8152085279643397e-04 -9.9120490061515121e-01
2.0651532387353434e+14 6.7492249487136481e-04 -9.4373033019561758e-01
2.0682917694933000e+14 6.7035893237657679e-04 -8.9624199791549997e-01
2.0714303002512562e+14 6.6776270810885922e-04 -8.4898846642589976e-01
2.0745688310092128e+14 6.6705414051960055e-04 -8.0221128852110557e-01
2.0777073617671694e+14 6.6814242977501922e-04 -7.5613737130393543e-01
2.0808458925251256e+14 6.7092710629173852e-04 -7.1097258451517198e-01
2.0839844232830822e+14 6.7529972024116106e-04 -6.6689701073254692e-01
2.0871229540410384e+14 6.8114565996961734e-04 -6.2406202422952284e-01
2.0902614847989950e+14 6.8834599129969070e-04 -5.8258917767582397e-01
2.0934000155569516e+14 6.9677922536798850e-04 -5.4257070479066094e-01
2.0965385463149078e+14 7.0632294560072869e-04 -5.0407133201810761e-01
2.0996770770728644e+14 7.1685524986226442e-04 -4.6713103805985140e-01
2.1028156078308209e+14 7.2825598778583395e-04 -4.3176839907077602e-01
2.1059541385887772e+14 7.4040779318357286e-04 -3.9798419539627500e-01
2.1090926693467338e+14 7.5319692588452815e-04 -3.6576501622857194e-01
2.1122312001046900e+14 7.6651394639362387e-04 -3.3508666733237474e-01
