["port 1","LEFT"]
["port 2","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.8737028625000000e+14 4.0623293087765936e-03 -2.2591010132763398e+00
1.8768413932579566e+14 3.9675156828652977e-03 -2.2508779760024940e+00
1.8799799240159128e+14 3.8740053909631375e-03 -2.2425612254512983e+00
1.8831184547738694e+14 3.7817886210391345e-03 -2.2341459291902583e+00
1.8862569855318259e+14 3.6908566725917355e-03 -2.2256269919521454e+00
1.8893955162897822e+14 3.6012019286427400e-03 -2.2169990097380659e+00
1.8925340470477388e+14 3.5128178172617050e-03 -2.2082562201798135e+00
1.8956725778056950e+14 3.4256987637102014e-03 -2.1993924492136498e+00
1.8988111085636516e+14 3.3398401344318521e-03 -2.1904010541272125e+00
1.9019496393216081e+14 3.2552381742281078e-03 -2.1812748630261813e+00
1.9050881700795644e+14 3.1718899380726844e-03 -2.1720061107906012e+00
1.9082267008375209e+14 3.0897932191078495e-03 -2.1625863715559683e+00
1.9113652315954775e+14 3.0089464744094286e-03 -2.1530064877779345e+00
1.9145037623534338e+14 2.9293487501757596e-03 -2.1432564959018188e+00
1.9176422931113903e+14 2.8509996080012933e-03 -2.1333255486672069e+00
1.9207808238693469e+14 2.7738990538989441e-03 -2.1232018340433583e+00
1.9239193546273031e+14 2.6980474717240386e-03 -2.1128724908000480e+00
1.9270578853852597e+14 2.6234455626157225e-03 -2.1023235206823352e+00
1.9301964161432162e+14 2.5500942920120263e-03 -2.0915396971566564e+00
1.9333349469011725e+14 2.4779948457214779e-03 -2.0805044706852494e+00
1.9364734776591291e+14 2.4071485964650987e-03 -2.0691998704844314e+00
1.9396120084170853e+14 2.3375570821742133e-03 -2.0576064027266967e+00
1.9427505391750419e+14 2.2692219972340563e-03 -2.0457029451840700e+00
1.9458890699329984e+14 2.2021451977371114e-03 -2.0334666383327868e+00
1.9490276006909547e+14 2.1363287216600814e-03 -2.0208727730459217e+00
1.9521661314489112e+14 2.0717748247369213e-03 -2.0078946750929405e+00
1.9553046622068678e+14 2.0084860326519084e-03 -1.9945035868381975e+00
1.9584431929648241e+14 1.9464652099894890e-03 -1.9806685467824645e+00
1.9615817237227806e+14 1.8857156462236261e-03 -1.9663562678927498e+00
1.9647202544807369e+14 1.8262411588040597e-03 -1.9515310161248554e+00
1.9678587852386934e+14 1.7680462132243016e-03 -1.9361544911093518e+00
1.9709973159966500e+14 1.7111360596892256e-03 -1.9201857117230012e+00
1.9741358467546062e+14 1.6555168857473978e-03 -1.9035809102487300e+00
1.9772743775125628e+14 1.6011959839390688e-03 -1.8862934400482332e+00
1.9804129082705194e+14 1.5481819331501754e-03 -1.8682737032214316e+00
1.9835514390284756e+14 1.4964847918750046e-03 -1.8494691066431885e+00
1.9866899697864322e+14 1.4461163010803209e-03 -1.8298240571146100e+00
1.9898285005443888e+14 1.3970900936332541e-03 -1.8092800091751620e+00
1.9929670313023450e+14 1.3494219064046384e-03 -1.7877755824677592e+00
1.9961055620603016e+14 1.3031297900698783e-03 -1.7652467693782572e+00
1.9992440928182581e+14 1.2582343103110423e-03 -1.7416272579950764e+00
2.0023826235762144e+14 1.2147587324628684e-03 -1.7168489000782441e+00
2.0055211543341709e+14 1.1727291797105413e-03 -1.6908423584372219e+00
2.0086596850921272e+14 1.1321747526260527e-03 -1.6635379724823096e+00
2.0117982158500838e+14 1.0931275951897837e-03 -1.6348668840272846e+00
2.0149367466080403e+14 1.0556228896127710e-03 -1.6047624666960503e+00
2.0180752773659966e+14 1.0196987592604968e-03 -1.5731621002354177e+00
2.0212138081239531e+14 9.8539605630387534e-04 -1.5400093238522379e+00
2.0243523388819097e+14 9.5275800854508017e-04 -1.5052563884876389e+00
2.0274908696398659e+14 9.2182969903224549e-04 -1.4688672044309961e+00
2.0306294003978225e+14 8.9265735323393910e-04 -1.4308206461093247e+00
2.0337679311557791e+14 8.6528741269007922e-04 -1.3911141291448228e+00
2.0369064619137353e+14 8.3976538215392365e-04 -1.3497673166947766e+00
2.0400449926716919e+14 8.1613445014109480e-04 -1.3068257460123607e+00
2.0431835234296481e+14 7.9443390087230665e-04 -1.2623640993544625e+00
2.0463220541876047e+14 7.7469735850592793e-04 -1.2164887869222216e+00
2.0494605849455612e+14 7.5695093069767349e-04 -1.1693394782000281e+00
2.0525991157035175e+14 7.4121134510064194e-04 -1.1210892276852871e+00
2.0557376464614741e+14 7.2748419512927236e-04 -1.0719429050274327e+00
2.0588761772194306e+14 7.1576242533123605e-04 -1.0221337633550147e+00
2.0620147079773869e+14 7.0602518722631766e-04 -9.7191815667447523e-01
2.0651532387353434e+14 6.9823718039265631e-04 -9.2156862578323806e-01
2.0682917694933000e+14 6.9234856053505811e-04 -8.7136577837497087e-01
2.0714303002512562e+14 6.8829544947713911e-04 -8.2158955307540926e-01
2.0745688310092128e+14 6.8600102798541476e-04 -7.7251054443597211e-01
2.0777073617671694e+14 6.8537713945297416e-04 -7.2438205687773327e-01
2.0808458925251256e+14 6.8632628926760359e-04 -6.7743345239396136e-01
2.0839844232830822e+14 6.8874389737580508e-04 -6.3186518221204113e-01
2.0871229540410384e+14 6.9252065305661016e-04 -5.8784568311747065e-01
2.0902614847989950e+14 6.9754483017867496e-04 -5.4551011406164374e-01
2.0934000155569516e+14 7.0370444427564924e-04 -5.0496074026230153e-01
2.0965385463149078e+14 7.1088916397996462e-04 -4.6626865897039765e-01
2.0996770770728644e+14 7.1899192289492377e-04 -4.2947650782119406e-01
2.1028156078308209e+14 7.2791020919978772e-04 -3.9460179557770803e-01
2.1059541385887772e+14 7.3754703605100340e-04 -3.6164053232436266e-01
2.1090926693467338e+14 7.4781161471959437e-04 -3.3057089542177337e-01
2.1122312001046900e+14 7.5861976448264991e-04 -3.0135673504131222e-01
2.1153697308626466e+14 7.6989409926685420e-04 -2.7395078811162704e-01
2.1185082616206031e+14 7.8156403246665708e-04 -2.4829752569890920e-01
2.1216467923785594e+14 7.9356563942294188e-04 -2.2433560338972092e-01
2.1247853231365159e+14 8.0584141318181890e-04 -2.0199991664778444e-01
2.1279238538944725e+14 8.1833994425820349e-04 -1.8122328476108923e-01
2.1310623846524288e+14 8.3101555002738881e-04 -1.6193779977162695e-01
2.1342009154103853e+14 8.4382787443074289e-04 -1.4407588277729208e-01
2.1373394461683419e+14 8.5674147430089647e-04 -1.2757109131063177e-01
2.1404779769262981e+14 8.6972540481500564e-04 -1.1235871970450288e-01
2.1436165076842547e+14 8.8275281343474002e-04 -9.8376230654270688e-02
2.1467550384422112e+14 8.9580054919393966e-04 -8.5563551675726199e-02
2.1498935692001675e+14 9.0884879214533855e-04 -7.3863265327506547e-02
2.1530320999581241e+14 9.2188070628498951e-04 -6.3220717331636048e-02
2.1561706307160806e+14 9.3488211806106716e-04 -5.3584062429938399e-02
2.1593091614740369e+14 9.4784122171496653e-04 -4.4904263914856447e-02
2.1624476922319934e+14 9.6074831201481295e-04 -3.7135059463980220e-02
2.1655862229899497e+14 9.7359554448632805e-04 -3.0232903065474392e-02
2.1687247537479062e+14 9.8637672283110310e-04 -2.4156890481251438e-02
2.1718632845058628e+14 9.9908711298287898e-04 -1.8868673765586704e-02
2.1750018152638191e+14 1.0117232829872597e-03 -1.4332368817454158e-02
2.1781403460217756e+14 1.0242829677461812e-03 -1.0514458712702311e-02
2.1812788767797322e+14 1.0367649574739987e-03 -7.3836946003211276e-03
2.1844174075376884e+14 1.0491690086010742e-03 -4.9109952321885987e-03
2.1875559382956450e+14 1.0614957757157921e-03 -3.0693456365289422e-03
2.1906944690536012e+14 1.0737467630186272e-03 -1.8336950507224210e-03
2.1938329998115578e+14 1.0859242936433775e-03 -1.1808540010818905e-03
2.1969715305695144e+14 1.0980314951059783e-03 -1.0893901920632945e-03
2.2001100613274706e+14 1.1100722990395064e-03 -1.5395228454509534e-03
2.2032485920854272e+14 1.1220514532551027e-03 -2.5130150739796431e-03
2.2063871228433838e+14 1.1339745441567638e-03 -3.9930639200004602e-03
2.2095256536013400e+14 1.1458480274145605e-03 -5.9641877673213915e-03
2.2126641843592966e+14 1.1576792647961078e-03 -8.4121109240593104e-03
2.2158027151172531e+14 1.1694765649977127e-03 -1.1323645314567709e-02
2.2189412458752094e+14 1.1812492263612940e-03 -1.4686569355041233e-02
2.2220797766331659e+14 1.1930075793312378e-03 -1.8489504231615203e-02
2.2252183073911225e+14 1.2047630265642727e-03 -2.2721787994961509e-02
2.2283568381490788e+14 1.2165280786961585e-03 -2.7373347993853606e-02
2.2314953689070353e+14 1.2283163838219930e-03 -3.2434572394136933e-02
2.2346338996649919e+14 1.2401427489091752e-03 -3.7896181644409541e-02
2.2377724304229481e+14 1.2520231514718213e-03 -4.3749100922519664e-02
2.2409109611809047e+14 1.2639747400480358e-03 -4.9984334739245323e-02
2.2440494919388609e+14 1.2760158222041064e-03 -5.6592844992240578e-02
2.2471880226968175e+14 1.2881658390264804e-03 -6.3565433868285268e-02
2.2503265534547741e+14 1.3004453253241228e-03 -7.0892633090428148e-02
2.2534650842127303e+14 1.3128758550492036e-03 -7.8564601032584391e-02
2.2566036149706869e+14 1.3254799717313164e-03 -8.6571029267342392e-02
2.2597421457286431e+14 1.3382811040564342e-03 -9.4901060067225831e-02
2.2628806764865997e+14 1.3513034670437952e-03 -1.0354321634226195e-01
2.2660192072445562e+14 1.3645719496148297e-03 -1.1248534535161361e-01
2.2691577380025125e+14 1.3781119896776883e-03 -1.2171457740400068e-01
2.2722962687604691e+14 1.3919494381933514e-03 -1.3121730051692224e-01
2.2754347995184256e+14 1.4061104139645641e-03 -1.4097915177382842e-01
2.2785733302763819e+14 1.4206211512190019e-03 -1.5098502581770840e-01
2.2817118610343384e+14 1.4355078422564197e-03 -1.6121910055387467e-01
