s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
-1.271406955672014,0.01847146393391144,-1.0734191882527666,1.0000074903948735,0.01847146393391144,-1.271406955672014,1.0000074903948735,-1.0734191882527666,1.5
-1.4059178777982393,0.01852539889441273,-1.1415135324451728,1.00001069290082,0.01852539889441273,-1.4059178777982393,1.00001069290082,-1.1415135324451728,1.5020408163265306
-1.5408174845359288,0.0186052992146244,-1.209426563713004,1.00000940457025,0.0186052992146244,-1.5408174845359288,1.00000940457025,-1.209426563713004,1.5040816326530613
-1.6761735479526676,0.01871164827494337,-1.2771697611706871,1.0000105687164844,0.01871164827494337,-1.6761735479526676,1.0000105687164844,-1.2771697611706871,1.506122448979592
-1.8120413942636924,0.018844162778035255,-1.3447278973648475,1.0000112901433296,0.018844162778035255,-1.8120413942636924,1.0000112901433296,-1.3447278973648475,1.5081632653061225
-1.9485607458351033,0.01900108291936258,-1.4121148335313525,1.000011325533469,0.01900108291936258,-1.9485607458351033,1.000011325533469,-1.4121148335313525,1.510204081632653
-2.085649515549532,0.019182902665626955,-1.4793257898144452,1.000013777170945,0.019182902665626955,-2.085649515549532,1.000013777170945,-1.4793257898144452,1.5122448979591836
-2.2233862770387285,0.01938332201520441,-1.5463601936183524,1.000014285859021,0.01938332201520441,-2.2233862770387285,1.000014285859021,-1.5463601936183524,1.5142857142857142
-2.361792319723698,0.019604160001947493,-1.6132241644193979,1.000015886729467,0.019604160001947493,-2.361792319723698,1.000015886729467,-1.6132241644193979,1.5163265306122449
-2.500712909240619,0.019845491475397645,-1.6799099936487076,1.00001571713686,0.019845491475397645,-2.500712909240619,1.00001571713686,-1.6799099936487076,1.5183673469387755
-2.6402277580449938,0.020102813734378593,-1.7464257652903494,1.0000153903841678,0.020102813734378593,-2.6402277580449938,1.0000153903841678,-1.7464257652903494,1.5204081632653061
-2.7802432277712934,0.020376971266934652,-1.8127686506824696,1.0000173061980366,0.020376971266934652,-2.7802432277712934,1.0000173061980366,-1.8127686506824696,1.5224489795918368
-2.920752271002632,0.020663325994640262,-1.8789398364980532,1.0000181446997396,0.020663325994640262,-2.920752271002632,1.0000181446997396,-1.8789398364980532,1.5244897959183674
-3.061771791699669,0.02096071359992195,-1.9449430461017003,1.0000181338561518,0.02096071359992195,-3.061771791699669,1.0000181338561518,-1.9449430461017003,1.5265306122448983
-3.2030694977012635,0.021269647858691513,-2.0107727502543744,1.0000194407488054,0.021269647858691513,-3.2030694977012635,1.0000194407488054,-2.0107727502543744,1.5285714285714287
-3.3447657180759673,0.021586609188830055,-2.0764350416687645,1.0000207689643117,0.021586609188830055,-3.3447657180759673,1.0000207689643117,-2.0764350416687645,1.530612244897959
-3.486712026574118,0.021909086241387918,-2.1419271834639995,1.0000207256886433,0.021909086241387918,-3.486712026574118,1.0000207256886433,-2.1419271834639995,1.5326530612244897
-3.628892148506075,0.0222369911559638,-2.2072526377410293,1.000020581013624,0.0222369911559638,-3.628892148506075,1.000020581013624,-2.2072526377410293,1.5346938775510204
-3.771335198701852,0.022568067208390413,-2.2724053011758105,1.0000207047144978,0.022568067208390413,-3.771335198701852,1.0000207047144978,-2.2724053011758105,1.536734693877551
-3.9138620694698596,0.022900354837341638,-2.337399684777831,1.0000209368041932,0.022900354837341638,-3.9138620694698596,1.0000209368041932,-2.337399684777831,1.5387755102040817
-4.05651842880981,0.023233644529791965,-2.4022266204191682,1.000020078770692,0.023233644529791965,-4.05651842880981,1.000020078770692,-2.4022266204191682,1.5408163265306123
-4.199226946393473,0.023564848366026864,-2.4668837745095886,1.0000210349756622,0.023564848366026864,-4.199226946393473,1.0000210349756622,-2.4668837745095886,1.542857142857143
-4.341988826055359,0.023892566552424405,-2.531375232312486,1.0000190656144163,0.023892566552424405,-4.341988826055359,1.0000190656144163,-2.531375232312486,1.5448979591836736
-4.4847546649067045,0.02421506852992915,-2.5957081380090163,1.0000193035386034,0.02421506852992915,-4.4847546649067045,1.0000193035386034,-2.5957081380090163,1.546938775510204
