s11a,s11m,s21a,s21m,s12a,s12m,s22a,s22m,wavelengths,freqs
-3.141008258477479,0.014996914735307638,-2.916791161057627,1.0000330953713574,-2.9167895504461296,1.0000358579248902,-3.1410753085466956,0.014998080093176686,1.5,0.6666666666666666
-3.140911178888228,0.01495782656305531,-2.9503261124193165,1.000034476873643,-2.9503244164467533,1.0000373192876264,-3.1409721441871405,0.014958889181001654,1.5020408163265306,0.6657608695652174
-3.1408111302560986,0.01491892946633631,-2.9837686586808716,1.0000358195474865,-2.983766881234825,1.0000387384104703,-3.140865414528253,0.014919891469792364,1.5040816326530613,0.6648575305291723
-3.1407081441435367,0.014880224758972084,-3.0171191812508473,1.000037127134562,-3.017117325656298,1.0000401198629691,-3.1407551473626056,0.014881088780174042,1.506122448979592,0.6639566395663956
-3.1406022671371425,0.014841713686050037,-3.050378059407086,1.0000384034663332,-3.0503761283332222,1.0000414680054661,-3.140641390461233,0.014842482965012387,1.5081632653061225,0.6630581867388362
-3.1404935577867925,0.014803397423686936,-3.0835456705419513,1.000039652321373,-3.08354366580696,1.0000427869194746,-3.1405242126576165,0.01480407587207848,1.510204081632653,0.6621621621621622
-3.140382084292555,0.014765277094470144,-3.116622390348601,1.0000408772673104,-3.1166203127003236,1.000044080381992,-3.1404037034212524,0.014765869294700614,1.5122448979591836,0.6612685560053981
-3.1402679233966158,0.0147273537882055,-3.1496085929367843,1.0000420815130122,-3.1496064418978236,1.0000453518537795,-3.140279970840136,0.01472786492452343,1.5142857142857142,0.6603773584905661
-3.140151160466412,0.01468962857669675,-3.182504650883025,1.0000432677962678,-3.1825024247284657,1.0000466044572731,-3.1401531384518337,0.014690064317996378,1.5163265306122449,0.6594885598923285
-3.1400318903343627,0.014652102514092026,-3.21531093523269,1.0000444383241667,-3.2153086311268058,1.0000478409324844,-3.1400233416803838,0.01465246888240391,1.5183673469387755,0.6586021505376344
-3.139910218245114,0.014614776620138742,-3.24802781547814,1.0000455947705003,-3.2480254297484747,1.0000490635742296,-3.139890724695676,0.014615079879766218,1.5204081632653061,0.6577181208053691
-3.139786260265963,0.014577651849335701,-3.280655659535416,1.0000467383214282,-3.280653188024467,1.0000502741658124,-3.1397554382793595,0.014577898442188788,1.5224489795918368,0.6568364611260054
-3.139660142760656,0.014540729053880725,-3.313194833734559,1.0000478697510593,-3.3131922721512725,1.0000514739303465,-3.1396176389102646,0.014540925587285643,1.5244897959183674,0.6559571619812583
-3.139532000858793,0.014504008949017197,-3.3456457028273365,1.0000489895052953,-3.3456430470275182,1.0000526635184837,-3.139477488853952,0.01450416222565072,1.526530612244898,0.6550802139037433
-3.139401976207076,0.014467492089489952,-3.378008630006194,1.000050097774982,-3.3780058761574856,1.0000538430433685,-3.139335156747155,0.01446760915422397,1.5285714285714287,0.6542056074766355
-3.1392702145011637,0.014431178860201269,-3.410283976920828,1.0000511945476804,-3.410281121545403,1.000055012161828,-3.139190818050624,0.014431267036087363,1.530612244897959,0.6533333333333333
-3.139136863352037,0.01439506948028226,-3.4424721036775896,1.0000522796370956,-3.4424691436011225,1.0000561701900514,-3.1390446548536164,0.0143951363704111,1.5326530612244897,0.6524633821571239
-3.139002070898649,0.014359164016635563,-3.474573368810974,1.0000533526978614,-3.474570301070006,1.000057316234225,-3.13889685477501,0.01435921746180717,1.5346938775510204,0.6515957446808511
-3.1388659860933106,0.014323460936439578,-3.506588129193088,1.0000544132530909,-3.5065849509616234,1.000058449341059,-3.138747610645322,0.014323508140697647,1.536734693877551,0.650730411686587
-3.138728756787994,0.014287962073772989,-3.5385167400739093,1.0000554606733614,-3.5385134486319436,1.0000595684986984,-3.1385971118529583,0.01428801267398678,1.5387755102040817,0.649867374005305
-3.1385905317180436,0.014252667417254145,-3.570359554778909,1.0000564942640584,-3.5703561476002994,1.000060672855809,-3.1384455511781186,0.01425272862453487,1.5408163265306123,0.6490066225165563
-3.1384514630411124,0.014217575629242194,-3.60211692476339,1.0000575133410143,-3.6021133996285895,1.0000617616667993,-3.1382931172380446,0.014217655324877357,1.542857142857143,0.6481481481481481
-3.1383117040879025,0.014182686101509042,-3.6337891994793208,1.0000585172864689,-3.6337855546396387,1.000062834321387,-3.138139994070232,0.014182792678528736,1.5448979591836736,0.6472919418758256
-3.138171409702295,0.014147998058027599,-3.66537672632592,1.000059505648733,-3.6653729606666188,1.0000638904057773,-3.137986364935927,0.014148137731747766,1.5469387755102042,0.646437994722955
-3.138030735108512,0.014113510542190642,-3.696879850624166,1.0000604782219353,-3.6968759637266397,1.0000649296187352,-3.1378324055823827,0.01411369141358782,1.5489795918367348,0.6455862977602107
-3.1378898339201884,0.014079222769637254,-3.7282989156145514,1.0000614350981516,-3.728294907769287,1.0000659519005344,-3.1376782926506275,0.014079451804051431,1.5510204081632653,0.6447368421052632
-3.1377488585996165,0.014045132343560706,-3.759634262479499,1.000062376725016,-3.759630134576676,1.000066957427289,-3.137524200680056,0.01404541753694512,1.5530612244897959,0.6438896189224704
-3.1376079549499405,0.014011238880400302,-3.7908862303452864,1.0000633038454576,-3.790881983712126,1.000067946676487,-3.1373703031356603,0.014011587049723287,1.5551020408163265,0.6430446194225722
-3.137467265684677,0.013977540403937878,-3.8220551563092826,1.0000642175305459,-3.8220507924938083,1.000068920462079,-3.1372167705849683,0.013977959557243465,1.5571428571428572,0.6422018348623854
-3.137326928358413,0.01394403519634778,-3.853141375431001,1.000065119109362,-3.853136896023961,1.0000698800582395,-3.1370637757573334,0.013944530341170748,1.5591836734693878,0.6413612565445026
-3.1371870751950133,0.013910722394124221,-3.884145220718785,1.0000660101142367,-3.884140627192976,1.000070827039649,-3.136911479549414,0.013911300146617104,1.5612244897959184,0.6405228758169934
-3.137047840380883,0.01387759728198461,-3.9150670231234677,1.0000668923334817,-3.9150623167711127,1.0000717634315732,-3.13676004199227,0.01387826580898507,1.563265306122449,0.639686684073107
-3.136909346981582,0.013844661678356329,-3.945907111499609,1.0000677675908611,-3.9459022934502115,1.0000726915641973,-3.136609614506518,0.013845425303244589,1.5653061224489797,0.6388526727509778
-3.1367717253399734,0.013811910707263675,-3.976665812635678,1.0000686379853199,-3.9766608839023028,1.000073614043189,-3.1364603430860045,0.013812775284209306,1.5673469387755103,0.6380208333333333
-3.1366351000644253,0.013779342251590412,-4.00734345125567,1.0000695057032636,-4.007338412812252,1.0000745336013317,-3.1363123645645308,0.013780313963431707,1.569387755102041,0.6371911573472041
-3.1364995901670922,0.013746955990050548,-4.037940350074189,1.0000703730223706,-4.037935202906414,1.0000754530413742,-3.136165809972838,0.013748039445880891,1.5714285714285714,0.6363636363636364
-3.1363653147122452,0.013714748683508273,-4.068456829869997,1.0000712423863285,-4.068451574967423,1.000076375221771,-3.1360208103906664,0.013715946845121927,1.573469387755102,0.6355382619974059
-3.136232385914208,0.013682717966506197,-4.098893209568423,1.0000721162862656,-4.098887847849603,1.000077302836608,-3.1358774862382655,0.013684035748763618,1.5755102040816327,0.6347150259067358
-3.136100909309959,0.013650861423534498,-4.129249806332764,1.0000729972171816,-4.129244338512749,1.0000782385137923,-3.135735957781966,0.013652303713074382,1.5775510204081633,0.6338939197930142
-3.1359709831141878,0.013619176615535238,-4.159526935648153,1.0000738875979724,-4.159521362064233,1.000079184816379,-3.1355963469043013,0.01362074518805906,1.579591836734694,0.6330749354005167
-3.135842698032666,0.013587661245958843,-4.18972491139118,1.0000747896792876,-4.1897192318504715,1.0000801440196485,-3.135458761365538,0.01358936027789958,1.5816326530612246,0.632258064516129
-3.135716139082756,0.013556312485861153,-4.219844045878471,1.000075705472603,-4.21983825954109,1.0000811182802503,-3.1353233077225893,0.013558145975304251,1.5836734693877552,0.6314432989690721
-3.135591384320501,0.013525128379633034,-4.249884649904837,1.0000766366449076,-4.24987875523316,1.0000821095721872,-3.1351900881458072,0.013527097272843949,1.5857142857142859,0.6306306306306306
-3.1354685081015328,0.01349410650169139,-4.279847032762529,1.0000775844974008,-4.279841027592461,1.000083119460173,-3.1350591865663753,0.013496214228200598,1.5877551020408165,0.6298200514138816
-3.135347580987377,0.013463244407734942,-4.3097315022632765,1.0000785499289362,-4.309725383907026,1.000084149283926,-3.134930686998096,0.013465491257625162,1.5897959183673471,0.6290115532734274
-3.1352286680133172,0.013432540578355825,-4.339538364772926,1.0000795334104502,-4.339532130215507,1.0000851998309832,-3.134804654778539,0.013434927671870132,1.5918367346938775,0.6282051282051282
-3.1351118331704106,0.013401991451666123,-4.369267925233461,1.0000805350712492,-4.369261571326141,1.000086271430567,-3.1346811493500795,0.01340452101817179,1.5938775510204082,0.6274007682458387
-3.134997132066938,0.013371594757100176,-4.3989204872386845,1.000081554643204,-4.398914010824182,1.0000873639384493,-3.134560227828792,0.013374265975758259,1.5959183673469388,0.6265984654731458
-3.134884610122138,0.013341349456502108,-4.428496353105563,1.000082591484993,-4.428489751146178,1.0000884765144975,-3.1344419301468043,0.013344162748727595,1.5979591836734695,0.6257982120051085
-3.134774305254044,0.013311253389027536,-4.457995823924372,1.000083644657461,-4.457989093513237,1.000089607852345,-3.1343262954844247,0.013314208687172296,1.6,0.625
